order_id,customer_id,order_date,total_amount,order_level_payment_status,product_id,product_name,category,price,payment_id,payment_method,transaction_payment_status
1,101,2025-03-01 10:00:00,150.00,Paid,201,Laptop,Electronics,1200.00,301,Credit Card,Completed
1,101,2025-03-01 10:00:00,150.00,Paid,202,Wireless Mouse,Electronics,30.00,301,Credit Card,Completed
2,102,2025-03-01 11:30:00,50.00,Pending,203,Casual T-Shirt,Apparel,25.00,302,PayPal,Pending
3,103,2025-03-02 12:45:00,200.00,Paid,204,Noise-Cancelling Headphones,Electronics,180.00,303,Bank Transfer,Completed
3,103,2025-03-02 12:45:00,200.00,Paid,205,Mechanical Keyboard,Electronics,60.00,303,Bank Transfer,Completed
4,104,2025-03-02 14:00:00,75.50,Paid,206,Espresso Machine,Home Goods,75.50,304,Credit Card,Completed
5,105,2025-03-03 09:15:00,30.00,Refunded,207,Sci-Fi Novel,Books,15.00,305,PayPal,Refunded
5,105,2025-03-03 09:15:00,30.00,Refunded,208,Reading Light,Books,10.00,305,PayPal,Refunded
6,106,2025-03-03 16:30:00,120.00,Paid,209,Smartwatch,Electronics,120.00,306,Credit Card,Completed
7,107,2025-03-04 08:45:00,45.00,Pending,210,Running Shoes,Apparel,45.00,307,Bank Transfer,Pending
8,108,2025-03-04 13:00:00,80.00,Paid,211,Blender,Home Goods,80.00,308,Credit Card,Completed
9,109,2025-03-05 10:10:00,25.00,Paid,212,Yoga Mat,Sports,25.00,309,PayPal,Completed
10,110,2025-03-05 15:20:00,350.00,Paid,213,Gaming Monitor,Electronics,350.00,310,Credit Card,Completed
11,101,2025-03-06 09:00:00,18.00,Paid,203,Casual T-Shirt,Apparel,25.00,311,PayPal,Completed
12,102,2025-03-06 14:00:00,15.00,Pending,207,Sci-Fi Novel,Books,15.00,312,Credit Card,Pending
13,103,2025-03-07 11:00:00,45.00,Paid,210,Running Shoes,Apparel,45.00,313,Bank Transfer,Completed
14,104,2025-03-07 16:00:00,60.00,Paid,205,Mechanical Keyboard,Electronics,60.00,314,Credit Card,Completed
15,105,2025-03-08 08:30:00,120.00,Refunded,209,Smartwatch,Electronics,120.00,315,PayPal,Refunded
16,106,2025-03-08 13:40:00,80.00,Paid,211,Blender,Home Goods,80.00,316,Credit Card,Completed
17,107,2025-03-09 10:50:00,25.00,Paid,212,Yoga Mat,Sports,25.00,317,PayPal,Completed
18,108,2025-03-09 15:10:00,180.00,Paid,204,Noise-Cancelling Headphones,Electronics,180.00,318,Bank Transfer,Completed
19,109,2025-03-10 09:20:00,30.00,Pending,202,Wireless Mouse,Electronics,30.00,319,Credit Card,Pending
20,110,2025-03-10 14:30:00,1200.00,Paid,201,Laptop,Electronics,1200.00,320,PayPal,Completed
21,101,2025-03-11 11:40:00,75.50,Paid,206,Espresso Machine,Home Goods,75.50,321,Bank Transfer,Completed
22,102,2025-03-11 16:50:00,10.00,Paid,208,Reading Light,Books,10.00,322,Credit Card,Completed
23,103,2025-03-12 09:00:00,350.00,Pending,213,Gaming Monitor,Electronics,350.00,323,PayPal,Pending
24,104,2025-03-12 13:10:00,25.00,Paid,203,Casual T-Shirt,Apparel,25.00,324,Credit Card,Completed
25,105,2025-03-13 10:20:00,45.00,Refunded,210,Running Shoes,Apparel,45.00,325,Bank Transfer,Refunded
26,106,2025-03-13 15:30:00,60.00,Paid,205,Mechanical Keyboard,Electronics,60.00,326,Credit Card,Completed
27,107,2025-03-14 09:40:00,120.00,Paid,209,Smartwatch,Electronics,120.00,327,PayPal,Completed
28,108,2025-03-14 14:50:00,80.00,Paid,211,Blender,Home Goods,80.00,328,Bank Transfer,Completed
29,109,2025-03-15 11:00:00,180.00,Pending,204,Noise-Cancelling Headphones,Electronics,180.00,329,Credit Card,Pending
30,110,2025-03-15 16:10:00,30.00,Paid,202,Wireless Mouse,Electronics,30.00,330,PayPal,Completed
31,101,2025-03-16 09:20:00,1200.00,Paid,201,Laptop,Electronics,1200.00,331,Bank Transfer,Completed
32,102,2025-03-16 14:30:00,75.50,Paid,206,Espresso Machine,Home Goods,75.50,332,Credit Card,Completed
33,103,2025-03-17 11:40:00,10.00,Pending,208,Reading Light,Books,10.00,333,PayPal,Pending
34,104,2025-03-17 16:50:00,350.00,Paid,213,Gaming Monitor,Electronics,350.00,334,Credit Card,Completed
35,105,2025-03-18 09:00:00,25.00,Refunded,203,Casual T-Shirt,Apparel,25.00,335,Bank Transfer,Refunded
36,106,2025-03-18 13:10:00,45.00,Paid,210,Running Shoes,Apparel,45.00,336,Credit Card,Completed
37,107,2025-03-19 10:20:00,60.00,Paid,205,Mechanical Keyboard,Electronics,60.00,337,PayPal,Completed
38,108,2025-03-19 15:30:00,120.00,Paid,209,Smartwatch,Electronics,120.00,338,Bank Transfer,Completed
39,109,2025-03-20 09:40:00,80.00,Pending,211,Blender,Home Goods,80.00,339,Credit Card,Pending
40,110,2025-03-20 14:50:00,180.00,Paid,204,Noise-Cancelling Headphones,Electronics,180.00,340,PayPal,Completed
41,101,2025-03-21 11:00:00,30.00,Paid,202,Wireless Mouse,Electronics,30.00,341,Bank Transfer,Completed
42,102,2025-03-21 16:10:00,1200.00,Paid,201,Laptop,Electronics,1200.00,342,Credit Card,Completed
43,103,2025-03-22 09:20:00,75.50,Pending,206,Espresso Machine,Home Goods,75.50,343,PayPal,Pending
44,104,2025-03-22 14:30:00,10.00,Paid,208,Reading Light,Books,10.00,344,Credit Card,Completed
45,105,2025-03-23 11:40:00,350.00,Refunded,213,Gaming Monitor,Electronics,350.00,345,Bank Transfer,Refunded
46,106,2025-03-23 16:50:00,25.00,Paid,203,Casual T-Shirt,Apparel,25.00,346,Credit Card,Completed
47,107,2025-03-24 09:00:00,45.00,Paid,210,Running Shoes,Apparel,45.00,347,PayPal,Completed
48,108,2025-03-24 13:10:00,60.00,Paid,205,Mechanical Keyboard,Electronics,60.00,348,Bank Transfer,Completed
49,109,2025-03-25 10:20:00,120.00,Pending,209,Smartwatch,Electronics,120.00,349,Credit Card,Pending
50,110,2025-03-25 15:30:00,80.00,Paid,211,Blender,Home Goods,80.00,350,PayPal,Completed
51,101,2025-03-26 09:40:00,180.00,Paid,204,Noise-Cancelling Headphones,Electronics,180.00,351,Bank Transfer,Completed
52,102,2025-03-26 14:50:00,30.00,Paid,202,Wireless Mouse,Electronics,30.00,352,Credit Card,Completed
53,103,2025-03-27 11:00:00,1200.00,Pending,201,Laptop,Electronics,1200.00,353,PayPal,Pending
54,104,2025-03-27 16:10:00,75.50,Paid,206,Espresso Machine,Home Goods,75.50,354,Credit Card,Completed
55,105,2025-03-28 09:20:00,10.00,Refunded,208,Reading Light,Books,10.00,355,Bank Transfer,Refunded
56,106,2025-03-28 14:30:00,350.00,Paid,213,Gaming Monitor,Electronics,350.00,356,Credit Card,Completed
57,107,2025-03-29 11:40:00,25.00,Paid,203,Casual T-Shirt,Apparel,25.00,357,PayPal,Completed
58,108,2025-03-29 16:50:00,45.00,Paid,210,Running Shoes,Apparel,45.00,358,Bank Transfer,Completed
59,109,2025-03-30 09:00:00,60.00,Pending,205,Mechanical Keyboard,Electronics,60.00,359,Credit Card,Pending
60,110,2025-03-30 13:10:00,120.00,Paid,209,Smartwatch,Electronics,120.00,360,PayPal,Completed
